id;annotation;min;max;length;dir
ORF00001;Terminase, small subunit;18;725;708;f
ORF00002;hypothetical protein CDS;805;1008;204;f
ORF00003;hypothetical protein CDS;1015;1275;261;f
ORF00004;Terminase, large subunit;1288;3327;2040;f
ORF00005;hypothetical protein CDS;3424;3828;405;f
ORF00006;hypothetical protein CDS;3825;4148;324;f
ORF00007;ATP-dependent helicase;4145;5356;1212;f
ORF00008;IbrB/ParB (Interesting: Plasmid Partition par B protein/DNA phage P1);5340;5894;555;f
ORF00009;Phosphoadenosine phosphosulfate sulfurtransferase;5876;7009;1134;f
ORF00010;hypothetical protein (head-to-tail joining protein?);7161;7454;294;f
ORF00011;Phage portal protein;7472;9085;1614;f
ORF00012;hypothetical protein CDS;9099;9332;234;f
ORF00013;hypothetical protein CDS;9439;9564;126;f
ORF00014;hypothetical protein CDS;9566;9865;300;f
ORF00015;hypothetical protein CDS;9849;10190;342;f
ORF00016;Peptidase (T5 endolysin, l-alanoyl-d-glutamate peptidase);10195;10659;465;f
ORF00017;hypothetical protein CDS ( all beta protein, immunoglobulin fold);10662;11006;345;f
ORF00018;hypothetical protein CDS;11171;11413;243;f
ORF00019;hypothetical protein CDS;11415;11798;384;f
ORF00020;Protease;12063;13325;1263;f
ORF00021;Capsid protein (head decoration protein);13338;13793;456;f
ORF00022;Major capsid protein;13796;14878;1083;f
ORF00023;hypothetical protein CDS;14878;15042;165;f
ORF00024;Tail attachement protein;15057;15440;384;f
ORF00025;Minor tail protein;15437;16042;606;f
ORF00026;Tail sheath protein;16048;17568;1521;f
ORF00027;Structural protein;17589;17999;411;f
ORF00028;hypothetical protein CDS;18055;18471;417;f
ORF00029;Tail tape measure protein;18719;20548;1830;f
ORF00030;Baseplate wedge protein (gp25 T4);20564;21043;480;f
ORF00031;Baseplate protein;21049;22224;1176;f
ORF00032;Tail protein;22229;23008;780;f
ORF00033;hypothetical protein CDS;23031;24077;1047;f
ORF00034;hypothetical protein CDS;24081;25250;1170;f
ORF00035;hypothetical protein CDS;25247;25906;660;f
ORF00036;Tail protein (RBP?);25903;27117;1215;f
ORF00037;Tail protein;27120;28166;1047;f
ORF00038;Baseplate protein (puncturing device?);28169;28657;489;f
ORF00039;hypothetical protein CDS;28817;29059;243;f
ORF00040;hypothetical protein CDS;29203;29499;297;f
ORF00041;hypothetical protein CDS;29663;29959;297;f
ORF00042;hypothetical protein CDS;30066;30302;237;f
ORF00043;hypothetical protein CDS;30305;30565;261;f
ORF00044;hypothetical protein CDS;30568;30753;186;f
ORF00045;Transcriptional regulation;30773;31933;1161;f
ORF00046;hypothetical protein CDS;31936;32304;369;f
ORF00047;hypothetical protein CDS;32318;33073;756;f
ORF00048;Nucleoside triphosphate pyrophosphohydrolase;33060;33413;354;f
ORF00049;hypothetical protein CDS;33478;33615;138;f
ORF00050;Exonuclease;33615;34358;744;f
ORF00051;Methylase;34351;36876;2526;f
ORF00052;hypothetical protein CDS;36857;37225;369;f
ORF00053;hypothetical protein CDS;37218;37469;252;f
ORF00054;Replication protein;37596;38312;717;f
ORF00055;Helicase, ATPase, REPLICATION;38411;39364;954;f
ORF00056;hypothetical protein CDS;39376;39819;444;f
ORF00057;hypothetical protein CDS;39824;40009;186;f
ORF00058;hypothetical protein CDS;40013;40534;522;f
ORF00059;hypothetical protein CDS;40629;41153;525;f
ORF00060;hypothetical protein CDS;41210;41437;228;f
ORF00061;"HNH endonuclease (4 5VGB_A CRISPR-associated endonuclease Cas9 (E.C.3.1.-.-), Anti-CRISPR Protein, RNA, HYDROLASE-HYDROLASE inhibitor complex HET: GOL 1.497A {Neisseria meningitidis} 96.66)";41453;41887;435;f
ORF00062;hypothetical protein CDS;41884;42027;144;f
ORF00063;ssDNA-binding protein;42032;42478;447;f
ORF00064;hypothetical protein CDS;42600;42998;399;f
ORF00065;hypothetical protein CDS;43049;43348;300;f
ORF00066;hypothetical protein CDS;43599;43736;138;f
ORF00067;hypothetical protein CDS;43767;44015;249;f
ORF00068;hypothetical protein CDS;44050;44262;213;f
ORF00069;hypothetical protein CDS;44277;44546;270;f
ORF00070;hypothetical protein CDS;44709;45056;348;f
ORF00071;hypothetical protein CDS;45363;45806;444;f
ORF00072;YopX/Mobile and extrachromosomal element functions;45809;46195;387;f
ORF00073;hypothetical protein CDS;46330;46671;342;f
ORF00074;hypothetical protein CDS;46674;46985;312;f
