id;annotation;min;max;length;dir
PRJNA276168:UN65_00005;protein tyrosine phosphatase;3260944;3261404;461;r
PRJNA276168:UN65_00010;chromosomal replication initiation protein;1;1428;1428;r
PRJNA276168:UN65_00015;thioesterase;1627;2028;402;f
PRJNA276168:UN65_00020;hypothetical protein;2025;2633;609;r
PRJNA276168:UN65_00025;haloacid dehalogenase;2687;3295;609;r
PRJNA276168:UN65_00030;riboflavin biosynthesis protein RibD;3288;4295;1008;r
PRJNA276168:UN65_00035;acetyltransferase;4381;4854;474;f
PRJNA276168:UN65_00040;glutamine methyltransferase;4877;5734;858;f
PRJNA276168:UN65_00045;ABC transporter permease;5802;7046;1245;r
PRJNA276168:UN65_00050;histidyl-tRNA synthase;7206;8624;1419;f
PRJNA276168:UN65_00055;integrase;8683;9591;909;r
PRJNA276168:UN65_00060;hypothetical protein;9667;10371;705;r
PRJNA276168:UN65_00065;hypothetical protein;10527;11066;540;f
PRJNA276168:UN65_00070;3-dehydroquinate dehydratase;11136;11573;438;f
PRJNA276168:UN65_00075;membrane protein;11643;12410;768;r
PRJNA276168:UN65_00080;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;12540;13850;1311;r
PRJNA276168:UN65_00085;hypothetical protein;13885;14607;723;r
PRJNA276168:UN65_00090;hypothetical protein;14609;14896;288;r
PRJNA276168:UN65_00095;ATPase;15129;15674;546;f
PRJNA276168:UN65_00100;ATP-dependent DNA helicase RecQ;15719;17611;1893;f
PRJNA276168:UN65_00105;methionyl-tRNA formyltransferase;17611;18561;951;f
PRJNA276168:UN65_00110;DNA-binding protein;18734;19009;276;f
PRJNA276168:UN65_00115;transcriptional regulator;19125;19685;561;f
PRJNA276168:UN65_00120;aminotransferase class IV;19682;20494;813;r
PRJNA276168:UN65_00125;SRPBCC superfamily protein;20539;20931;393;r
PRJNA276168:UN65_00135;hypothetical protein;22351;23463;1113;f
PRJNA276168:UN65_00145;transposase;24190;25011;822;f
PRJNA276168:UN65_00150;ribonuclease;25227;26789;1563;r
PRJNA276168:UN65_00155;cell division protein ZapA;27010;27297;288;r
PRJNA276168:UN65_00160;hypothetical protein;27306;27596;291;r
PRJNA276168:UN65_00165;peptidase M23;27820;29520;1701;f
PRJNA276168:UN65_00170;TonB-dependent receptor;29524;31980;2457;f
PRJNA276168:UN65_00175;hypothetical protein;32019;32705;687;f
PRJNA276168:UN65_00180;antibiotic ABC transporter ATP-binding protein;32818;34647;1830;r
PRJNA276168:UN65_00185;phosphoglucomutase;34647;36374;1728;r
PRJNA276168:UN65_00190;glycosyl transferase family 2;36559;37509;951;r
PRJNA276168:UN65_00195;hypothetical protein;37511;38041;531;r
PRJNA276168:UN65_00200;50S ribosomal protein L31;38258;38509;252;f
PRJNA276168:UN65_00205;glucose-1-phosphate thymidylyltransferase;38789;39961;1173;f
PRJNA276168:UN65_00210;aspartate ammonia-lyase;40025;41425;1401;f
PRJNA276168:UN65_00215;2-methylthioadenine synthetase;41641;42963;1323;f
PRJNA276168:UN65_00220;hypothetical protein;43170;43940;771;r
PRJNA276168:UN65_00225;alpha/beta hydrolase;44042;44701;660;f
PRJNA276168:UN65_00230;murein transglycosylase;44703;45545;843;f
PRJNA276168:UN65_00235;permease;45586;45954;369;f
PRJNA276168:UN65_00250;membrane protein;47730;48245;516;r
PRJNA276168:UN65_00255;50S ribosomal protein L34;48453;48614;162;f
PRJNA276168:UN65_00260;carbamoyl phosphate synthase large subunit;48766;51621;2856;f
PRJNA276168:UN65_00265;transporter;51809;53626;1818;f
PRJNA276168:UN65_00270;Crp/Fnr family transcriptional regulator [1212865:1213552](+);53637;54323;687;r
PRJNA276168:UN65_00275;hypothetical protein;54413;54853;441;f
PRJNA276168:UN65_00280;pH-dependent sodium/proton antiporter;55557;56699;1143;r
PRJNA276168:UN65_00285;Inward rectifier potassium channel Irk;56749;57705;957;f
PRJNA276168:UN65_00290;hypothetical protein;57731;58273;543;r
PRJNA276168:UN65_00295;hypothetical protein;58373;58711;339;r
PRJNA276168:UN65_00300;hypothetical protein;58812;59660;849;f
PRJNA276168:UN65_00305;thioesterase;59802;60350;549;r
PRJNA276168:UN65_00310;hypothetical protein;60371;61408;1038;r
PRJNA276168:UN65_00315;6-phosphogluconate dehydrogenase;61528;61896;369;r
PRJNA276168:UN65_00320;DNA polymerase V;61904;63274;1371;r
PRJNA276168:UN65_00325;hypothetical protein;63689;64096;408;r
PRJNA276168:UN65_00330;pseudouridine synthase;64529;65095;567;f
PRJNA276168:UN65_00340;ABC transporter ATP-binding protein;66132;66914;783;r
PRJNA276168:UN65_00345;iron ABC transporter;66914;67924;1011;r
PRJNA276168:UN65_00350;ABC transporter substrate-binding protein;67930;69069;1140;r
PRJNA276168:UN65_00355;mechanosensitive ion channel protein MscS;69171;69680;510;r
PRJNA276168:UN65_00360;cobinamide kinase;69801;70307;507;f
PRJNA276168:UN65_00365;adenosine nucleotide hydrolase;70352;70996;645;f
PRJNA276168:UN65_00370;nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase;71008;72015;1008;f
PRJNA276168:UN65_00375;cobalamin synthase;72051;72851;801;f
PRJNA276168:UN65_00380;phosphoglycerate mutase;72836;73366;531;f
PRJNA276168:UN65_00385;hypothetical protein;73552;74313;762;f
PRJNA276168:UN65_00390;TonB-denpendent receptor [1188672:1190583](-);75163;77034;1872;f
PRJNA276168:UN65_00395;hypothetical protein;77156;78568;1413;r
PRJNA276168:UN65_00405;hypothetical protein;78892;79392;501;f
PRJNA276168:UN65_00410;kinase inhibitor;79468;80007;540;r
PRJNA276168:UN65_00420;hypothetical protein;80989;81693;705;r
PRJNA276168:UN65_00425;peptidase M61;81781;83634;1854;r
PRJNA276168:UN65_00430;hypothetical protein;83749;84027;279;r
PRJNA276168:UN65_00435;sterol desaturase;84111;84938;828;r
PRJNA276168:UN65_00440;hypothetical protein;85005;85241;237;r
PRJNA276168:UN65_00445;FAD-binding protein;85321;86883;1563;f
PRJNA276168:UN65_00450;isopentenyl-diphosphate delta-isomerase;86980;87507;528;f
PRJNA276168:UN65_00455;6-pyruvoyl tetrahydrobiopterin synthase;87504;87911;408;f
PRJNA276168:UN65_00460;alkyl hydroperoxide reductase;87919;88380;462;f
PRJNA276168:UN65_00465;mannose-6-phosphate isomerase;88380;89348;969;f
PRJNA276168:UN65_00470;hypothetical protein;89403;89669;267;f
PRJNA276168:UN65_00490;T9SS C-terminal target domain-containing protein [1271846:1274588](+);90723;93407;2685;f
PRJNA276168:UN65_00505;hypothetical protein;95518;97599;2082;r
PRJNA276168:UN65_00510;hypothetical protein;97993;98367;375;f
PRJNA276168:UN65_00515;hypothetical protein;98430;98903;474;r
PRJNA276168:UN65_00520;hypothetical protein;99454;101373;1920;f
PRJNA276168:UN65_00525;hypothetical protein;101376;103454;2079;f
PRJNA276168:UN65_00530;hypothetical protein;103454;104122;669;f
PRJNA276168:UN65_00535;hypothetical protein;104200;104466;267;f
PRJNA276168:UN65_00540;hypothetical protein;104466;104732;267;f
PRJNA276168:UN65_00545;hypothetical protein;104888;105130;243;f
PRJNA276168:UN65_00550;hypothetical protein;105208;105474;267;f
PRJNA276168:UN65_00555;hypothetical protein;105474;105740;267;f
PRJNA276168:UN65_00560;transposase;106029;106295;267;f
PRJNA276168:UN65_00570;cell filamentation protein Fic;107572;108366;795;r
PRJNA276168:UN65_00575;hypothetical protein;108373;108585;213;r
PRJNA276168:UN65_00580;transposase;108843;110405;1563;f
PRJNA276168:UN65_00590;hypothetical protein;112335;112574;240;f
PRJNA276168:UN65_00595;hypothetical protein;112564;112782;219;r
PRJNA276168:UN65_00600;hypothetical protein;113037;113486;450;f
PRJNA276168:UN65_00605;hypothetical protein;113470;113682;213;r
PRJNA276168:UN65_00610;hypothetical protein;113914;114363;450;f
PRJNA276168:UN65_00615;hypothetical protein;114347;114604;258;r
PRJNA276168:UN65_00620;integrase;114773;115846;1074;f
PRJNA276168:UN65_00625;hypothetical protein;116609;117505;897;r
PRJNA276168:UN65_00630;TonB-dependent receptor;118076;120493;2418;r
PRJNA276168:UN65_00635;T9SS C-terminal target domain-containing protein [1295999:1300313](-);120667;124980;4314;r
PRJNA276168:UN65_00640;arginyl-tRNA synthetase;125184;126962;1779;f
PRJNA276168:UN65_00645;hypothetical protein;127103;127636;534;r
PRJNA276168:UN65_00650;excinuclease ABC subunit B;127804;129795;1992;r
PRJNA276168:UN65_00655;thiamine pyrophosphokinase;129883;130545;663;r
PRJNA276168:UN65_00660;lipoprotein precursor [1306175:1307000](-);130843;131667;825;r
PRJNA276168:UN65_00665;collagen-binding protein;131774;134146;2373;r
PRJNA276168:UN65_00670;MarR family transcriptional regulator;134689;135288;600;f
PRJNA276168:UN65_00675;lipoprotein [1310782:1311544](-);135451;136212;762;r
PRJNA276168:UN65_00685;adenosine deaminase;138311;139366;1056;r
PRJNA276168:UN65_00690;restriction endonuclease;139376;140212;837;r
PRJNA276168:UN65_00700;isocitrate dehydrogenase;141799;144021;2223;r
PRJNA276168:UN65_00710;hypothetical protein;144528;144890;363;r
PRJNA276168:UN65_00715;hypothetical protein;145280;146242;963;r
PRJNA276168:UN65_00720;50S ribosomal protein L19;146773;147123;351;r
PRJNA276168:UN65_00730;hypothetical protein;149326;149547;222;f
PRJNA276168:UN65_00735;hypothetical protein;149620;150684;1065;f
PRJNA276168:UN65_00740;short-chain dehydrogenase;151002;151817;816;f
PRJNA276168:UN65_00745;tRNA %28guanine-N1%29-methyltransferase;151864;152544;681;r
PRJNA276168:UN65_00750;hypothetical protein;152619;153062;444;r
PRJNA276168:UN65_00755;methyltransferase type 12;153110;153907;798;r
PRJNA276168:UN65_00760;gcn5-related n-acetyltransferase [2913309:2913768](+);153911;154369;459;r
PRJNA276168:UN65_00765;peptidylprolyl isomerase;154419;155351;933;f
PRJNA276168:UN65_00775;2-dehydro-3-deoxyphosphooctonate aldolase;155757;156212;456;r
PRJNA276168:UN65_00780;YeeE/YedE family protein;156643;157200;558;f
PRJNA276168:UN65_00785;transporter;157205;157618;414;f
PRJNA276168:UN65_00790;hypothetical protein;157942;158775;834;r
PRJNA276168:UN65_00795;hypothetical protein;159567;160427;861;r
PRJNA276168:UN65_00800;hypothetical protein;160825;161547;723;r
PRJNA276168:UN65_00805;hypothetical protein;161534;161833;300;r
PRJNA276168:UN65_00815;hypothetical protein;163318;164205;888;r
PRJNA276168:UN65_00820;hypothetical protein;164388;165278;891;f
PRJNA276168:UN65_00825;hypothetical protein;166476;168728;2253;r
PRJNA276168:UN65_00840;RNA polymerase sigma-70 factor;170850;171398;549;r
PRJNA276168:UN65_00845;glycosyl transferase family 2;171389;172501;1113;r
PRJNA276168:UN65_00850;UDP-N-acetylenolpyruvoylglucosamine reductase;172969;173982;1014;r
PRJNA276168:UN65_00855;hypothetical protein;174059;174733;675;r
PRJNA276168:UN65_00860;thioredoxin;175234;175926;693;r
PRJNA276168:UN65_00865;DNA recombination protein RecF;175957;177036;1080;r
PRJNA276168:UN65_00870;tetratricopeptide repeat protein;177167;177973;807;f
PRJNA276168:UN65_00875;6%2C7-dimethyl-8-ribityllumazine synthase;178042;178530;489;f
PRJNA276168:UN65_00880;DNA mismatch repair protein MutL;178717;180594;1878;f
PRJNA276168:UN65_00885;protease;180591;181331;741;f
PRJNA276168:UN65_00890;transmembrane rhomboid family protein;181371;182252;882;f
PRJNA276168:UN65_00895;endonuclease;182309;183361;1053;f
PRJNA276168:UN65_00900;WbqC-like protein;183358;183972;615;r
PRJNA276168:UN65_00905;signal peptidase I;184055;185617;1563;r
PRJNA276168:UN65_00910;dihydrodipicolinate reductase;185685;186386;702;r
PRJNA276168:UN65_00915;hypothetical protein;186390;186950;561;r
PRJNA276168:UN65_00920;chromosome partitioning protein ParB;186950;187846;897;r
PRJNA276168:UN65_00925;chromosome partitioning protein ParA;187870;188634;765;r
PRJNA276168:UN65_00930;methionine aminotransferase;188758;189885;1128;r
PRJNA276168:UN65_00935;alkaline phosphatase;190011;191645;1635;r
PRJNA276168:UN65_00940;hypothetical protein;192037;192990;954;r
PRJNA276168:UN65_00945;hypothetical protein;192983;193471;489;r
PRJNA276168:UN65_00950;hypothetical protein;193795;194592;798;r
PRJNA276168:UN65_00955;hypothetical protein;194597;195205;609;r
PRJNA276168:UN65_00965;hypothetical protein;198049;198525;477;r
PRJNA276168:UN65_00970;hypothetical protein;198567;199394;828;r
PRJNA276168:UN65_00980;hypothetical protein;201160;201675;516;r
PRJNA276168:UN65_00985;hypothetical protein;201713;202114;402;r
PRJNA276168:UN65_00990;methyltransferase;202203;202835;633;r
PRJNA276168:UN65_00995;preprotein translocase subunit SecA;202967;206329;3363;r
PRJNA276168:UN65_01000;hypothetical protein;206404;206625;222;r
PRJNA276168:UN65_01005;cob%28I%29yrinic acid a c-diamide adenosyltransferase;206881;207450;570;r
PRJNA276168:UN65_01010;Appr-1-p processing protein;207508;207990;483;r
PRJNA276168:UN65_01020;peptidase M16;208512;211439;2928;r
PRJNA276168:UN65_01025;macrolide ABC transporter ATP-binding protein;211508;212197;690;r
PRJNA276168:UN65_01030;hypothetical protein;212310;213137;828;r
PRJNA276168:UN65_01035;thiol:disulfide interchange protein;213251;213712;462;f
PRJNA276168:UN65_01040;hypothetical protein;213717;215405;1689;f
PRJNA276168:UN65_01045;methyltransferase;215435;216214;780;r
PRJNA276168:UN65_01050;ABC transporter;216312;218183;1872;r
PRJNA276168:UN65_01055;hypothetical protein;218519;218923;405;f
PRJNA276168:UN65_01060;glycosyl transferase family 2;218978;220153;1176;f
PRJNA276168:UN65_01065;diapophytoene dehydrogenase;220237;221523;1287;f
PRJNA276168:UN65_01070;DNA polymerase III subunit epsilon;221625;222398;774;f
PRJNA276168:UN65_01075;2-hydroxyhepta-2%2C4-diene-1%2C7-dioate isomerase;222452;223063;612;f
PRJNA276168:UN65_01080;histidine kinase;223063;223407;345;f
PRJNA276168:UN65_01085;damage-inducible protein CinA;223511;224761;1251;f
PRJNA276168:UN65_01090;50S ribosomal protein L28;224836;225072;237;f
PRJNA276168:UN65_01095;50S ribosomal protein L33;225101;225283;183;f
PRJNA276168:UN65_01100;cell division protein FtsY;225640;226593;954;f
PRJNA276168:UN65_01105;thioredoxin reductase;226944;227894;951;f
PRJNA276168:UN65_01110;hypothetical protein;227989;228879;891;r
PRJNA276168:UN65_01115;TonB-dependent receptor;228982;231096;2115;f
PRJNA276168:UN65_01120;hypothetical protein;231183;232271;1089;f
PRJNA276168:UN65_01125;T9SS C-terminal target domain-containing protein [2840473:2841778](-);232487;233791;1305;f
PRJNA276168:UN65_01130;hypothetical protein;234125;234955;831;r
PRJNA276168:UN65_01135;lipoprotein [2838453:2839191](+);235074;235811;738;r
PRJNA276168:UN65_01140;phage-shock protein;235936;237666;1731;r
PRJNA276168:UN65_01145;PadR family transcriptional regulator;237672;238001;330;r
PRJNA276168:UN65_01150;hypothetical protein;237991;238299;309;r
PRJNA276168:UN65_01160;hypothetical protein;238759;239223;465;r
PRJNA276168:UN65_01165;thioesterase;239503;239958;456;f
PRJNA276168:UN65_01170;NAD-dependent epimerase;240035;240940;906;f
PRJNA276168:UN65_01175;hypothetical protein;241191;241580;390;r
PRJNA276168:UN65_01180;molecular chaperone GrpE;241738;242277;540;f
PRJNA276168:UN65_01185;molecular chaperone DnaJ;242349;243464;1116;f
PRJNA276168:UN65_01190;ABC transporter ATP-binding protein;243624;244550;927;f
PRJNA276168:UN65_01195;ABC transporter permease;244646;245953;1308;f
PRJNA276168:UN65_01200;Fis family transcriptional regulator;246034;247197;1164;f
PRJNA276168:UN65_01205;RNA helicase;247297;247935;639;f
PRJNA276168:UN65_01210;restriction endonuclease subunit S;248046;249014;969;f
PRJNA276168:UN65_01215;gamma-glutamyltranspeptidase;249124;250812;1689;f
PRJNA276168:UN65_01220;hypothetical protein;250825;251040;216;f
PRJNA276168:UN65_01225;glycosyl transferase family 2;251135;252769;1635;f
PRJNA276168:UN65_01230;hypothetical protein;253316;254002;687;f
PRJNA276168:UN65_01235;transposase;254052;254945;894;f
PRJNA276168:UN65_01240;hypothetical protein;255047;255229;183;r
PRJNA276168:UN65_01245;von Willebrand factor A;255395;256948;1554;r
PRJNA276168:UN65_01250;multidrug transporter;257248;258630;1383;f
PRJNA276168:UN65_01255;hypothetical protein;258651;258878;228;f
PRJNA276168:UN65_01260;membrane protein;259145;260140;996;f
PRJNA276168:UN65_01265;protein kinase;260211;261299;1089;r
PRJNA276168:UN65_01270;Crp/Fnr family transcriptional regulator [1460872:1461460](-);261421;262008;588;f
PRJNA276168:UN65_01275;hypothetical protein;262063;262296;234;f
PRJNA276168:UN65_01280;hypothetical protein;262443;262655;213;r
PRJNA276168:UN65_01285;dehydrogenase;262859;264262;1404;f
PRJNA276168:UN65_01290;2OG-Fe%28II%29 oxygenase;264354;264950;597;r
PRJNA276168:UN65_01295;permease;265358;266254;897;r
PRJNA276168:UN65_01300;hypothetical protein;266827;268314;1488;f
PRJNA276168:UN65_01310;hybrid sensor histidine kinase/response regulator [1451484:1453677](-);269204;271396;2193;f
PRJNA276168:UN65_01315;TonB-dependent receptor;271492;273615;2124;f
PRJNA276168:UN65_01320;hypothetical protein;273678;273908;231;f
PRJNA276168:UN65_01325;membrane protein;274142;274546;405;r
PRJNA276168:UN65_01330;cold-shock protein;275546;275977;432;f
PRJNA276168:UN65_01335;cold-shock protein;275990;276178;189;f
PRJNA276168:UN65_01340;molecular chaperone Hsp90;276227;278110;1884;r
PRJNA276168:UN65_01350;membrane protein;278763;279455;693;f
PRJNA276168:UN65_01355;hypothetical protein;279500;280645;1146;r
PRJNA276168:UN65_01365;ABC transporter ATP-binding protein;281751;282686;936;f
PRJNA276168:UN65_01370;hypothetical protein;282679;283452;774;r
PRJNA276168:UN65_01375;3-oxoacyl-ACP synthase;283683;284690;1008;f
PRJNA276168:UN65_01380;hypothetical protein;284817;285788;972;r
PRJNA276168:UN65_01385;Kdo domain containing protein;285856;286584;729;f
PRJNA276168:UN65_01390;membrane protein;286569;287765;1197;f
PRJNA276168:UN65_01395;glycosyl transferase family 2;287755;288699;945;f
PRJNA276168:UN65_01400;polysaccharide deacetylase;288702;289478;777;f
PRJNA276168:UN65_01405;glycosyl transferase;289480;290232;753;f
PRJNA276168:UN65_01410;glycosyl transferase family 1;290214;291329;1116;r
PRJNA276168:UN65_01415;2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-carboxylate N-succinyltransferase;291360;292175;816;r
PRJNA276168:UN65_01420;Holliday junction resolvase;292261;292677;417;f
PRJNA276168:UN65_01425;malate:quinone oxidoreductase;292774;294270;1497;f
PRJNA276168:UN65_01430;peptide deformylase;294319;294900;582;f
PRJNA276168:UN65_01435;hypothetical protein;294953;295495;543;f
PRJNA276168:UN65_01440;pyrophosphatase;295596;296372;777;f
PRJNA276168:UN65_01450;beta-lactamase;297174;297866;693;r
PRJNA276168:UN65_01455;transcriptional regulator, crp/fnr family protein [1424317:1424914](+);297967;298548;582;r
PRJNA276168:UN65_01460;thiol:disulfide interchange protein DsbD;298566;300581;2016;r
PRJNA276168:UN65_01465;potassium ABC transporter ATPase;300578;301885;1308;r
PRJNA276168:UN65_01470;aminobenzoate synthetase;302206;303492;1287;r
PRJNA276168:UN65_01475;NADH dehydrogenase;303699;305003;1305;f
PRJNA276168:UN65_01480;DoxX family protein;305105;305527;423;r
PRJNA276168:UN65_01485;peptidase M1;305580;307220;1641;r
PRJNA276168:UN65_01490;methylcrotonoyl-CoA carboxylase;307344;308987;1644;r
PRJNA276168:UN65_01495;phosphate transport regulator;309150;309803;654;f
PRJNA276168:UN65_01500;phosphate transporter;309827;311452;1626;f
PRJNA276168:UN65_01505;hypothetical protein;311740;312462;723;f
PRJNA276168:UN65_01510;membrane protein;312554;313309;756;r
